"target_identity","target_framing","n","n_distinct_trials","k","p","se","ci_low","ci_high"
"ai","distress",2352,2352,966,0.410714285714286,0.0101462730683527,0.390827590500314,0.430600980928257
"ai","efficiency",2352,2352,792,0.336734693877551,0.00974678212157931,0.317631000919256,0.355838386835846
"human","distress",2352,1919,1300,0.552721088435374,0.0125748497697322,0.528074382886699,0.577367793984049
"human","efficiency",2352,1931,1000,0.425170068027211,0.0123699859807136,0.400924895505012,0.44941524054941
