"prioritized_ai","note_timing","n_raw","n","n_eff","k","p","se","ci_low","ci_high"
0,"after",1721,1721.00000000002,859.842423839076,332.963791130482,0.193471116287321,0.0134712717416111,0.167067423673763,0.219874808900878
0,"before",1812,1812,978.919536486046,258.285818831782,0.142541842622397,0.0111738838977152,0.120641030182875,0.164442655061918
1,"after",891,891,627.258998733689,93.3345216273098,0.1047525495256,0.0122272951932736,0.0807870509467841,0.128718048104416
1,"before",800,799.999999999994,508.675502851691,69.0165415958146,0.0862706769947689,0.0124485845305577,0.0618714513148757,0.110669902674662
0,"both",3533,3533.00000000005,1835.95738538346,591.249609962266,0.167350583063192,0.00871191055306016,0.150275238379194,0.18442592774719
1,"both",1691,1691,1133.00412280953,162.351063223124,0.0960089078788432,0.00875229797933619,0.0788544038393443,0.113163411918342
