"term","estimate","ci_low","ci_high","p_value","n_pairs"
"identity_x_target_framing",-0.0533943353262305,-0.081215969352438,-0.0255727013000231,0.000168853224924403,4704
"identity_x_target_framing_x_control_framing",0.0200539767749006,-0.0357020643640835,0.0758100179138847,0.480834953804733,4704
"identity_x_target_framing_x_note_timing",0.00878089072495433,-0.0469263860268963,0.064488167476805,0.757362529250873,4704
"identity_x_target_framing_x_control_framing_x_note_timing",-0.0617794685247392,-0.173258620776709,0.0496996837272309,0.277394075904438,4704
